player_name,transfer_value
Micky van de Ven,"€55.00m
Last update: Dec 16, 2024"
Mikel Merino,"€35.00m
Last update: Mar 18, 2025"
Mikkel Damsgaard,"€25.00m
Last update: Mar 18, 2025"
Milos Kerkez,"€35.00m
Last update: Mar 18, 2025"
Mohamed Salah,"€55.00m
Last update: Dec 16, 2024"
Mohammed Kudus,"€50.00m
Last update: Dec 16, 2024"
Moisés Caicedo,"€80.00m
Last update: Dec 16, 2024"
Morgan Gibbs-White,"€50.00m
Last update: Mar 18, 2025"
Morgan Rogers,€50.00m
Murillo,"€55.00m
Last update: Mar 18, 2025"
Myles Lewis-Skelly,"€28.00m
Last update: Mar 18, 2025"
Nathan Collins,"€28.00m
Last update: Dec 16, 2024"
Neco Williams,"€20.00m
Last update: Mar 18, 2025"
Nick Pope,€10.00m
Nicolas Jackson,"€55.00m
Last update: Dec 16, 2024"
Nicolás Domínguez,€17.00m
Nikola Milenković,€28.00m
Noni Madueke,"€40.00m
Last update: Dec 16, 2024"
Noussair Mazraoui,"€32.00m
Last update: Dec 16, 2024"
Nélson Semedo,"€10.00m
Last update: Dec 16, 2024"
Ola Aina,"€20.00m
Last update: Mar 18, 2025"
Ollie Watkins,€50.00m
Omar Marmoush,"€75.00m
Last update: Mar 18, 2025"
Omari Hutchinson,€22.00m
Orel Mangala,€20.00m
Pape Matar Sarr,"€40.00m
Last update: Mar 18, 2025"
Pau Torres,"€40.00m
Last update: Mar 18, 2025"
Paul Onuachu,"€8.00m
Last update: Mar 18, 2025"
Pedro Neto,"€50.00m
Last update: Mar 18, 2025"
Pedro Porro,€45.00m
Pervis Estupiñán,€30.00m
Phil Foden,€130.00m
Radu Drăgușin,€25.00m
Rasmus Højlund,"€45.00m
Last update: Mar 18, 2025"
Rayan Aït-Nouri,€35.00m
Raúl Jiménez,€5.00m
Riccardo Calafiori,"€40.00m
Last update: Mar 18, 2025"
Rico Lewis,€40.00m
Robert Sánchez,"€20.00m
Last update: Dec 16, 2024"
Rodrigo Bentancur,€30.00m
Rodrigo Muniz,"€20.00m
Last update: Dec 16, 2024"
Ryan Christie,"€12.00m
Last update: Dec 16, 2024"
Ryan Gravenberch,"€70.00m
Last update: Mar 18, 2025"
Ryan Manning,"€3.50m
Last update: Dec 16, 2024"
Ryan Yates,"€13.00m
Last update: Dec 16, 2024"
Rúben Dias,"€70.00m
Last update: Mar 18, 2025"
Sam Morsy,€900k
Sammie Szmodics,"€12.00m
Last update: Dec 16, 2024"
Sander Berge,"€25.00m
Last update: Mar 18, 2025"
Sandro Tonali,"€45.00m
Last update: Mar 18, 2025"
Santiago Bueno,"€8.00m
Last update: Dec 16, 2024"
Saša Lukić,"€10.00m
Last update: Dec 16, 2024"
Sepp van den Berg,€20.00m
Son Heung-min,N/a
Stefan Ortega,€9.00m
Stephy Mavididi,"€11.00m
Last update: Dec 16, 2024"
Sávio,"€55.00m
Last update: Dec 16, 2024"
Taylor Harwood-Bellis,"€25.00m
Last update: Dec 16, 2024"
Thomas Partey,"€15.00m
Last update: Dec 16, 2024"
Timothy Castagne,"€15.00m
Last update: Dec 16, 2024"
Tomáš Souček,€22.00m
Tosin Adarabioyo,"€20.00m
Last update: Dec 16, 2024"
Toti Gomes,"€25.00m
Last update: Mar 18, 2025"
Trent Alexander-Arnold,€75.00m
Trevoh Chalobah,€17.00m
Tyler Adams,€18.00m
Tyler Dibling,€25.00m
Tyrick Mitchell,€25.00m
Tyrone Mings,"€6.00m
Last update: Mar 18, 2025"
